datetime,direct.bid,direct.ask
2015-01-02 15:16:45,108.93,108.94
2015-01-02 15:16:46,108.93,108.94
2015-01-02 15:16:47,108.92,108.93
2015-01-02 15:16:48,108.92,108.93
2015-01-02 15:16:49,108.93,108.94
2015-01-02 15:16:50,108.93,108.94
2015-01-02 15:16:51,108.92,108.93
2015-01-02 15:16:52,108.92,108.93
2015-01-02 15:16:53,108.92,108.94
2015-01-02 15:16:54,108.93,108.94
2015-01-02 15:16:55,108.93,108.94
2015-01-02 15:16:56,108.94,108.95
2015-01-02 15:16:57,108.94,108.95
2015-01-02 15:16:58,108.94,108.95
2015-01-02 15:16:59,108.95,108.96
2015-01-02 15:17:00,108.94,108.95
2015-01-02 15:17:01,108.96,108.97
2015-01-02 15:17:02,108.96,108.97
2015-01-02 15:17:03,108.96,108.97
2015-01-02 15:17:04,108.97,108.98
2015-01-02 15:17:05,108.97,108.98
2015-01-02 15:17:06,108.97,108.98
2015-01-02 15:17:07,108.95,108.96
2015-01-02 15:17:08,108.95,108.96
2015-01-02 15:17:09,108.95,108.96
2015-01-02 15:17:10,108.95,108.96
2015-01-02 15:17:11,108.96,108.97
2015-01-02 15:17:12,108.95,108.96
2015-01-02 15:17:13,108.96,108.98
2015-01-02 15:17:14,108.97,108.98
2015-01-02 15:17:15,108.97,108.98
2015-01-02 15:17:16,108.97,108.98
2015-01-02 15:17:17,108.97,108.98
2015-01-02 15:17:18,108.97,108.98
2015-01-02 15:17:19,108.97,108.98
2015-01-02 15:17:20,108.94,108.95
2015-01-02 15:17:21,108.94,108.95
2015-01-02 15:17:22,108.93,108.94
2015-01-02 15:17:23,108.93,108.94
2015-01-02 15:17:24,108.92,108.93
2015-01-02 15:17:25,108.93,108.94
2015-01-02 15:17:26,108.91,108.92
2015-01-02 15:17:27,108.91,108.92
2015-01-02 15:17:28,108.91,108.92
2015-01-02 15:17:29,108.91,108.92
2015-01-02 15:17:30,108.91,108.92
2015-01-02 15:17:31,108.9,108.91
2015-01-02 15:17:32,108.88,108.89
2015-01-02 15:17:33,108.87,108.88
2015-01-02 15:17:34,108.87,108.88
2015-01-02 15:17:35,108.87,108.88
2015-01-02 15:17:36,108.85,108.86
2015-01-02 15:17:37,108.85,108.86
2015-01-02 15:17:38,108.84,108.85
2015-01-02 15:17:39,108.85,108.86
2015-01-02 15:17:40,108.83,108.85
2015-01-02 15:17:41,108.86,108.87
2015-01-02 15:17:42,108.86,108.87
2015-01-02 15:17:43,108.87,108.88
2015-01-02 15:17:44,108.87,108.88
2015-01-02 15:17:45,108.87,108.88
2015-01-02 15:17:46,108.87,108.88
2015-01-02 15:17:47,108.87,108.88
2015-01-02 15:17:48,108.86,108.87
2015-01-02 15:17:49,108.86,108.87
2015-01-02 15:17:50,108.86,108.87
2015-01-02 15:17:51,108.86,108.87
2015-01-02 15:17:52,108.87,108.88
2015-01-02 15:17:53,108.88,108.89
2015-01-02 15:17:54,108.88,108.89
2015-01-02 15:17:55,108.86,108.87
2015-01-02 15:17:56,108.85,108.86
2015-01-02 15:17:57,108.85,108.86
2015-01-02 15:17:58,108.84,108.85
2015-01-02 15:17:59,108.84,108.85
2015-01-02 15:18:00,108.84,108.85
2015-01-02 15:18:01,108.86,108.87
2015-01-02 15:18:02,108.84,108.86
2015-01-02 15:18:03,108.86,108.87
2015-01-02 15:18:04,108.86,108.87
2015-01-02 15:18:05,108.84,108.85
2015-01-02 15:18:06,108.84,108.85
2015-01-02 15:18:07,108.84,108.85
2015-01-02 15:18:08,108.86,108.87
2015-01-02 15:18:09,108.85,108.87
2015-01-02 15:18:10,108.86,108.87
2015-01-02 15:18:11,108.86,108.87
2015-01-02 15:18:12,108.87,108.88
2015-01-02 15:18:13,108.87,108.88
2015-01-02 15:18:14,108.87,108.88
2015-01-02 15:18:15,108.87,108.88
2015-01-02 15:18:16,108.87,108.88
2015-01-02 15:18:17,108.88,108.89
2015-01-02 15:18:18,108.88,108.89
2015-01-02 15:18:19,108.88,108.89
2015-01-02 15:18:20,108.88,108.89
2015-01-02 15:18:21,108.88,108.89
2015-01-02 15:18:22,108.87,108.88
2015-01-02 15:18:23,108.87,108.88
2015-01-02 15:18:24,108.87,108.88
2015-01-02 15:18:25,108.87,108.88
2015-01-02 15:18:26,108.88,108.89
2015-01-02 15:18:27,108.89,108.9
2015-01-02 15:18:28,108.89,108.9
2015-01-02 15:18:29,108.89,108.9
2015-01-02 15:18:30,108.89,108.9
2015-01-02 15:18:31,108.89,108.9
2015-01-02 15:18:32,108.91,108.92
2015-01-02 15:18:33,108.91,108.92
2015-01-02 15:18:34,108.91,108.92
2015-01-02 15:18:35,108.91,108.92
2015-01-02 15:18:36,108.91,108.92
2015-01-02 15:18:37,108.91,108.92
2015-01-02 15:18:38,108.91,108.92
2015-01-02 15:18:39,108.91,108.92
2015-01-02 15:18:40,108.93,108.94
2015-01-02 15:18:41,108.93,108.94
2015-01-02 15:18:42,108.94,108.95
2015-01-02 15:18:43,108.94,108.95
2015-01-02 15:18:44,108.94,108.95
2015-01-02 15:18:45,108.94,108.95
2015-01-02 15:18:46,108.93,108.94
2015-01-02 15:18:47,108.93,108.94
2015-01-02 15:18:48,108.93,108.94
2015-01-02 15:18:49,108.94,108.95
2015-01-02 15:18:50,108.94,108.95
2015-01-02 15:18:51,108.94,108.95
2015-01-02 15:18:52,108.94,108.95
2015-01-02 15:18:53,108.94,108.95
2015-01-02 15:18:54,108.94,108.95
2015-01-02 15:18:55,108.94,108.95
2015-01-02 15:18:56,108.94,108.94
2015-01-02 15:18:57,108.91,108.92
2015-01-02 15:18:58,108.92,108.93
2015-01-02 15:18:59,108.92,108.93
2015-01-02 15:19:00,108.92,108.93
2015-01-02 15:19:01,108.9,108.91
2015-01-02 15:19:02,108.89,108.9
2015-01-02 15:19:03,108.89,108.9
2015-01-02 15:19:04,108.88,108.9
2015-01-02 15:19:05,108.88,108.9
2015-01-02 15:19:06,108.89,108.9
2015-01-02 15:19:07,108.88,108.89
2015-01-02 15:19:08,108.88,108.89
